run,type,slice,n,cos,nmse
parabola_s3072_af_fr_zs_a100,分区,v-OOD,928,0.1689,3.1214
parabola_s3072_af_fr_zs_a100,分区,both-OOD,1189,0.2574,4.8603
parabola_s3072_af_fr_zs_a100,步长,h=1,100,0.9602,0.0788
parabola_s3072_af_fr_zs_a100,步长,h=2,100,0.9013,0.2053
parabola_s3072_af_fr_zs_a100,步长,h=4,100,0.6536,0.9162
parabola_s3072_af_fr_zs_a100,步长,h=8,100,0.1982,2.2795
parabola_s3072_af_fr_zs_a100,步长,h=16,100,0.0773,3.2876
parabola_s3072_af_fr_zs_a100,步长,h=28,100,0.2648,521213024.0
parabola_s42_af_fr,分区,ID,464,0.871,0.2089
parabola_s42_af_fr,分区,r/m-OOD,319,0.7464,0.4884
parabola_s42_af_fr,分区,v-OOD,928,0.5973,0.9352
parabola_s42_af_fr,分区,both-OOD,1189,0.5737,1.0453
parabola_s42_af_fr,步长,h=1,100,0.9842,0.0323
parabola_s42_af_fr,步长,h=2,100,0.9693,0.0656
parabola_s42_af_fr,步长,h=4,100,0.9327,0.1534
parabola_s42_af_fr,步长,h=8,100,0.841,0.3822
parabola_s42_af_fr,步长,h=16,100,0.5144,1.1038
parabola_s42_af_fr,步长,h=28,100,0.6846,9136852.0
parabola_s42_af_fr_gate_t3,分区,ID,464,0.8736,0.2063
parabola_s42_af_fr_gate_t3,分区,r/m-OOD,319,0.7514,0.4698
parabola_s42_af_fr_gate_t3,分区,v-OOD,928,0.5986,0.9376
parabola_s42_af_fr_gate_t3,分区,both-OOD,1189,0.5757,1.0428
parabola_s42_af_fr_gate_t3,步长,h=1,100,0.9841,0.0325
parabola_s42_af_fr_gate_t3,步长,h=2,100,0.9691,0.0659
parabola_s42_af_fr_gate_t3,步长,h=4,100,0.932,0.1549
parabola_s42_af_fr_gate_t3,步长,h=8,100,0.8399,0.385
parabola_s42_af_fr_gate_t3,步长,h=16,100,0.5158,1.0997
parabola_s42_af_fr_gate_t3,步长,h=28,100,0.6988,8755809.0
parabola_s42_af_fr_zs_a025,分区,ID,464,0.8606,0.2366
