Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
[load] DiT-XL from /home/qlib/.stable_worldmodel/dit_xl_2_256
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
  transformer has 28 blocks; applying LoRA to last 4
  LoRA params: 0.590 M trainable / 750.4 M total (0.079%)
  using 32000 training frames, 2000 steps / epoch
  ep 2 step 899/2000 (global 4900/16000) loss=0.4406 elapsed=1272s eta=2882s
  ep 2 step 949/2000 (global 4950/16000) loss=0.3596 elapsed=1285s eta=2869s
  ep 2 step 999/2000 (global 5000/16000) loss=0.4112 elapsed=1298s eta=2856s
  ep 2 step 1049/2000 (global 5050/16000) loss=0.3665 elapsed=1311s eta=2843s
  ep 2 step 1099/2000 (global 5100/16000) loss=0.5239 elapsed=1324s eta=2830s
  ep 2 step 1149/2000 (global 5150/16000) loss=0.4930 elapsed=1337s eta=2818s
  ep 2 step 1199/2000 (global 5200/16000) loss=0.4242 elapsed=1350s eta=2804s
  ep 2 step 1249/2000 (global 5250/16000) loss=0.4784 elapsed=1363s eta=2790s
  ep 2 step 1299/2000 (global 5300/16000) loss=0.5116 elapsed=1375s eta=2777s
  ep 2 step 1349/2000 (global 5350/16000) loss=0.3249 elapsed=1389s eta=2765s
  ep 2 step 1399/2000 (global 5400/16000) loss=0.4773 elapsed=1402s eta=2751s
  ep 2 step 1449/2000 (global 5450/16000) loss=0.3984 elapsed=1415s eta=2738s
  ep 2 step 1499/2000 (global 5500/16000) loss=0.3620 elapsed=1428s eta=2726s
  ep 2 step 1549/2000 (global 5550/16000) loss=0.4400 elapsed=1441s eta=2713s
  ep 2 step 1599/2000 (global 5600/16000) loss=0.4855 elapsed=1454s eta=2699s
  ep 2 step 1649/2000 (global 5650/16000) loss=0.4980 elapsed=1466s eta=2686s
  ep 2 step 1699/2000 (global 5700/16000) loss=0.3812 elapsed=1479s eta=2673s
  ep 2 step 1749/2000 (global 5750/16000) loss=0.3576 elapsed=1492s eta=2659s
  ep 2 step 1799/2000 (global 5800/16000) loss=0.4245 elapsed=1504s eta=2646s
  ep 2 step 1849/2000 (global 5850/16000) loss=0.4293 elapsed=1517s eta=2632s
  ep 2 step 1899/2000 (global 5900/16000) loss=0.4323 elapsed=1530s eta=2619s
  ep 2 step 1949/2000 (global 5950/16000) loss=0.4960 elapsed=1543s eta=2606s
  ep 2 step 1999/2000 (global 6000/16000) loss=0.4733 elapsed=1556s eta=2593s
  ep 3 step 0/2000 (global 6001/16000) loss=0.3396 elapsed=1557s eta=2594s
  ep 3 step 49/2000 (global 6050/16000) loss=0.4526 elapsed=1569s eta=2581s
  ep 3 step 99/2000 (global 6100/16000) loss=0.4583 elapsed=1582s eta=2568s
  ep 3 step 149/2000 (global 6150/16000) loss=0.2092 elapsed=1595s eta=2554s
  ep 3 step 199/2000 (global 6200/16000) loss=0.3358 elapsed=1608s eta=2542s
  ep 3 step 249/2000 (global 6250/16000) loss=0.4299 elapsed=1621s eta=2529s
  ep 3 step 299/2000 (global 6300/16000) loss=0.3231 elapsed=1634s eta=2515s
  ep 3 step 349/2000 (global 6350/16000) loss=0.4090 elapsed=1646s eta=2502s
  ep 3 step 399/2000 (global 6400/16000) loss=0.3500 elapsed=1659s eta=2488s
  ep 3 step 449/2000 (global 6450/16000) loss=0.3920 elapsed=1671s eta=2475s
  ep 3 step 499/2000 (global 6500/16000) loss=0.4060 elapsed=1684s eta=2461s
  ep 3 step 549/2000 (global 6550/16000) loss=0.4161 elapsed=1697s eta=2449s
  ep 3 step 599/2000 (global 6600/16000) loss=0.4248 elapsed=1710s eta=2436s
  ep 3 step 649/2000 (global 6650/16000) loss=0.4078 elapsed=1723s eta=2422s
  ep 3 step 699/2000 (global 6700/16000) loss=0.3120 elapsed=1736s eta=2409s
  ep 3 step 749/2000 (global 6750/16000) loss=0.4791 elapsed=1749s eta=2397s
  ep 3 step 799/2000 (global 6800/16000) loss=0.3669 elapsed=1762s eta=2384s
  ep 3 step 849/2000 (global 6850/16000) loss=0.4069 elapsed=1775s eta=2371s
  ep 3 step 899/2000 (global 6900/16000) loss=0.4077 elapsed=1788s eta=2358s
  ep 3 step 949/2000 (global 6950/16000) loss=0.3990 elapsed=1801s eta=2345s
  ep 3 step 999/2000 (global 7000/16000) loss=0.4180 elapsed=1814s eta=2332s
  ep 3 step 1049/2000 (global 7050/16000) loss=0.4628 elapsed=1827s eta=2319s
  ep 3 step 1099/2000 (global 7100/16000) loss=0.4656 elapsed=1840s eta=2306s
  ep 3 step 1149/2000 (global 7150/16000) loss=0.4870 elapsed=1853s eta=2294s
  ep 3 step 1199/2000 (global 7200/16000) loss=0.4556 elapsed=1866s eta=2281s
  ep 3 step 1249/2000 (global 7250/16000) loss=0.3706 elapsed=1878s eta=2267s
  ep 3 step 1299/2000 (global 7300/16000) loss=0.5169 elapsed=1890s eta=2252s
  ep 3 step 1349/2000 (global 7350/16000) loss=0.4745 elapsed=1903s eta=2239s
  ep 3 step 1399/2000 (global 7400/16000) loss=0.3816 elapsed=1916s eta=2227s
  ep 3 step 1449/2000 (global 7450/16000) loss=0.3677 elapsed=1929s eta=2214s
  ep 3 step 1499/2000 (global 7500/16000) loss=0.3574 elapsed=1942s eta=2201s
  ep 3 step 1549/2000 (global 7550/16000) loss=0.4505 elapsed=1954s eta=2187s
  ep 3 step 1599/2000 (global 7600/16000) loss=0.3323 elapsed=1967s eta=2174s
  ep 3 step 1649/2000 (global 7650/16000) loss=0.3215 elapsed=1980s eta=2161s
  ep 3 step 1699/2000 (global 7700/16000) loss=0.5259 elapsed=1993s eta=2149s
  ep 3 step 1749/2000 (global 7750/16000) loss=0.4085 elapsed=2006s eta=2135s
  ep 3 step 1799/2000 (global 7800/16000) loss=0.4162 elapsed=2019s eta=2122s
  ep 3 step 1849/2000 (global 7850/16000) loss=0.3442 elapsed=2032s eta=2109s
  ep 3 step 1899/2000 (global 7900/16000) loss=0.3998 elapsed=2045s eta=2096s
  ep 3 step 1949/2000 (global 7950/16000) loss=0.3650 elapsed=2058s eta=2084s
  ep 3 step 1999/2000 (global 8000/16000) loss=0.2484 elapsed=2071s eta=2071s
  [ckpt] saved LoRA at end of epoch 4 → /home/qlib/agent_memory/wm/artifacts/embeddings/dit_xl_lora_collision_traj/epoch_4
